id,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,KMeans_Cluster,DBSCAN_Cluster
0.0,0,0.0,0.285714286,0.556667648,0,0,0.391666667,0,0.0,0.418604651,0.303030303,0.333333333,0.457142857,0,0,0,0,0,0,0.074074074,0,0,0.625,0.375,0.5,0.736960432,0,0,0.625,0.458333333,0.444444444,0.566967384,0,0.406976744,0.311111111,0.80317041,Graduate,0,0
1.3069e-05,0,0.307692308,0.285714286,0.556667648,0,0,0.375,0,0.418604651,0.418604651,0.545454545,0.6,0.407142857,1,0,0,0,0,0,0.074074074,0,0,0.625,0.541666667,0.333333333,0.463129496,0,0,0.625,0.625,0.0,0.0,0,0.406976744,0.311111111,0.80317041,Dropout,0,0
2.6138e-05,0,0.307692308,0.571428571,0.566087724,0,0,0.575,0,0.046511628,0.418604651,0.121212121,0.2,0.851785714,0,0,0,0,1,0,0.074074074,0,0,0.625,0.0,0.0,0.0,0,0,0.625,0.0,0.0,0.0,0,1.0,0.244444444,0.414795244,Dropout,2,0
3.9207e-05,0,0.0,0.857142857,0.710921401,0,0,0.475,0,0.418604651,0.046511628,0.181818182,0.133333333,0.519642857,1,0,0,0,0,0,0.074074074,0,0,0.875,0.625,0.583333333,0.556727743,0,0,1.0,0.791666667,0.518518519,0.597390701,0,0.406976744,0.311111111,0.80317041,Enrolled,0,0
5.2276e-05,0,0.0,0.571428571,0.710921401,0,0,0.491666667,0,0.418604651,0.837209302,0.242424242,0.6,0.4125,1,0,0,0,0,0,0.074074074,0,0,0.875,0.875,0.5,0.589028777,0,0,0.875,0.875,0.444444444,0.606199399,0,0.0,0.755555556,0.578599736,Graduate,0,0
6.5345e-05,0,0.730769231,0.285714286,0.0,0,0,0.51,0,0.418604651,0.418604651,0.060606061,0.066666667,0.053571429,0,0,0,0,1,0,0.518518519,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.73255814,0.111111111,0.640686922,Dropout,2,0
7.84139e-05,0,0.826923077,0.285714286,0.466588166,0,0,0.458333333,0,0.837209302,0.837209302,0.545454545,0.4,0.589285714,1,0,0,0,0,0,0.296296296,0,0,0.375,0.458333333,0.333333333,0.571717626,0,0,0.375,0.541666667,0.37037037,0.630811936,0,0.558139535,0.288888889,0.772787318,Graduate,0,0
9.14829e-05,0,0.0,0.285714286,0.871651457,0,0,0.458333333,0,0.418604651,0.837209302,0.242424242,0.333333333,0.658928571,1,0,0,0,1,0,0.074074074,0,0,0.625,0.375,0.416666667,0.595323741,0,0,0.625,0.375,0.444444444,0.663196854,0,0.372093023,0.488888889,0.766182299,Graduate,0,0
0.000104552,0,0.730769231,0.285714286,0.418310274,0,0,0.51,0,0.418604651,0.418604651,0.545454545,0.6,0.589285714,1,0,0,0,1,0,0.518518519,0,0,0.625,0.541666667,0.0,0.0,0,0,0.625,0.708333333,0.0,0.0,0,1.0,0.244444444,0.414795244,Dropout,2,0
0.000117621,0,0.0,1.0,0.710921401,0,0,0.541666667,0,0.837209302,0.837209302,0.242424242,0.6,0.553571429,1,0,0,0,0,0,0.074074074,0,0,0.875,0.458333333,0.5,0.592176259,0,0,0.875,0.458333333,0.444444444,0.608790192,0,0.0,0.755555556,0.578599736,Graduate,0,0
