ProductID,Date,Zip,Units,Revenue,Country
2219,12/2/2004,1210,1,141.6975,Australia
551,12/2/2004,1186,1,922.1625,Australia
1085,12/2/2004,3143,1,89.1975,Australia
726,1/3/2004,1224,1,110.1975,Australia
1934,10/20/2005,8007,1,136.4475,Australia
792,10/21/2005,3198,1,62.9475,Australia
1215,10/21/2005,1177,1,341.1975,Australia
604,10/21/2005,1560,1,494.8125,Australia
788,10/21/2005,907,1,314.9475,Australia
2295,10/21/2005,1515,1,887.1975,Australia
2081,2/29/2004,1234,1,225.6975,Australia
760,2/29/2004,3177,1,146.9475,Australia
964,2/29/2004,8007,1,320.1975,Australia
1916,2/29/2004,1112,1,286.0725,Australia
2064,2/29/2004,1691,1,496.0725,Australia
725,2/29/2004,846,1,110.1975,Australia
1916,1/11/2004,8383,1,286.0725,Australia
792,11/10/2005,1195,1,62.9475,Australia
2112,11/10/2005,1185,1,540.75,Australia
396,11/11/2005,871,1,907.9875,Australia
795,11/11/2005,881,1,278.1975,Australia
2222,11/11/2005,1197,1,225.6975,Australia
604,11/11/2005,1322,1,494.8125,Australia
2396,6/22/2004,1695,1,89.1975,Australia
762,6/22/2004,3101,1,178.4475,Australia
1941,6/22/2004,1195,2,325.395,Australia
2396,6/22/2004,1101,1,89.1975,Australia
725,6/23/2004,2616,1,110.1975,Australia
791,6/23/2004,3169,1,62.9475,Australia
792,6/23/2004,1226,1,62.9475,Australia
826,6/23/2004,1210,1,960.6975,Australia
1927,6/23/2004,3141,1,89.1975,Australia
2255,6/23/2004,3141,1,56.6475,Australia
757,6/23/2004,200,1,73.4475,Australia
768,6/23/2004,1295,1,94.4475,Australia
792,6/23/2004,221,1,62.9475,Australia
1974,6/23/2004,9010,1,57.6975,Australia
1053,6/18/2004,2632,1,262.4475,Australia
2269,6/18/2004,1022,1,293.9475,Australia
1818,6/19/2004,871,1,209.9475,Australia
551,6/19/2004,810,1,923.7375,Australia
759,6/19/2004,1145,1,152.1975,Australia
1484,6/19/2004,3142,1,76.02,Australia
996,11/25/2005,1022,1,703.4475,Australia
1181,11/25/2005,1217,1,419.9475,Australia
2049,11/25/2005,1151,1,451.4475,Australia
2252,11/25/2005,1235,2,262.395,Australia
475,11/25/2005,2651,1,1028.7375,Australia
977,11/25/2005,810,1,482.9475,Australia
993,11/25/2005,1428,1,341.1975,Australia
1347,11/25/2005,1326,1,314.895,Australia
2218,11/25/2005,2650,1,141.6975,Australia
94,11/25/2005,3071,1,891.975,Australia
689,11/25/2005,7290,1,340.9875,Australia
400,9/18/2005,871,1,771.4875,Australia
671,9/18/2005,2668,1,944.7375,Australia
2270,11/2/2003,2655,1,314.9475,Australia
2380,11/3/2003,851,1,293.9475,Australia
2235,11/3/2003,1133,1,70.8225,Australia
2373,12/29/2004,1023,1,619.4475,Australia
382,12/30/2004,1006,1,928.9875,Australia
596,12/30/2004,1207,1,797.2125,Australia
726,12/30/2004,885,1,110.1975,Australia
762,12/30/2004,1125,1,173.1975,Australia
915,12/30/2004,8009,1,556.4475,Australia
2055,11/21/2003,835,1,569.5725,Australia
2277,11/21/2003,2804,1,262.4475,Australia
400,11/21/2003,2659,1,734.7375,Australia
1082,11/21/2003,1216,1,230.9475,Australia
1000,11/28/2005,1184,1,97.0725,Australia
2213,11/28/2005,3101,1,89.1975,Australia
2331,11/28/2005,3147,1,561.6975,Australia
566,11/29/2005,2655,1,981.4875,Australia
763,11/29/2005,1037,1,304.4475,Australia
826,11/29/2005,1026,1,944.9475,Australia
990,11/30/2005,1335,1,446.1975,Australia
2055,11/30/2005,2617,1,577.4475,Australia
2083,11/30/2005,1455,1,314.9475,Australia
2331,11/30/2005,1113,1,561.6975,Australia
2252,12/30/2005,2700,1,131.1975,Australia
443,12/29/2005,822,1,860.7375,Australia
644,12/29/2005,1136,1,871.2375,Australia
760,12/29/2005,1108,1,152.1975,Australia
794,12/29/2005,1165,1,78.6975,Australia
981,12/29/2005,1698,1,157.4475,Australia
1217,12/29/2005,1195,1,577.4475,Australia
1975,12/29/2005,1161,1,57.6975,Australia
2071,12/29/2005,1159,1,362.1975,Australia
2331,12/29/2005,2715,1,561.6975,Australia
375,12/29/2005,1041,1,776.7375,Australia
2239,2/20/2004,1105,1,125.9475,Australia
768,2/20/2004,1196,1,94.4475,Australia
1123,2/20/2004,2619,1,262.4475,Australia
726,2/20/2004,1113,1,110.1975,Australia
1391,2/20/2004,9944,1,141.645,Australia
1000,7/17/2005,3129,1,89.1975,Australia
760,6/19/2004,2852,1,146.9475,Australia
758,6/26/2004,1108,1,73.4475,Australia
791,6/26/2004,8001,2,125.895,Australia
647,9/19/2003,8009,1,900.6375,Australia
785,9/19/2003,812,1,68.1975,Australia
2235,9/19/2003,1698,1,70.8225,Australia
1227,10/29/2003,1730,1,330.6975,Australia
2226,10/29/2003,8007,1,325.4475,Australia
2380,10/29/2003,1710,1,293.9475,Australia
606,10/29/2003,2722,2,646.275,Australia
676,10/29/2003,2656,1,837.375,Australia
976,10/29/2003,2758,1,314.9475,Australia
1934,10/29/2003,1314,2,272.895,Australia
2045,10/29/2003,1292,1,419.9475,Australia
2064,10/29/2003,1222,1,496.0725,Australia
2250,10/29/2003,871,1,125.9475,Australia
2396,10/29/2003,8007,1,89.1975,Australia
580,10/29/2003,2722,1,784.875,Australia
757,10/29/2003,2904,1,83.9475,Australia
910,10/29/2003,1316,1,430.4475,Australia
2388,5/4/2004,1191,1,309.6975,Australia
2205,5/4/2004,909,1,146.9475,Australia
734,4/21/2004,1101,1,341.1975,Australia
2235,4/21/2004,1235,1,65.5725,Australia
1213,4/21/2004,2661,1,556.4475,Australia
768,4/22/2004,3129,1,94.4475,Australia
617,4/22/2004,1391,1,844.725,Australia
164,4/22/2004,1029,1,566.475,Australia
631,4/22/2004,3060,1,398.7375,Australia
1418,4/22/2004,1172,1,314.895,Australia
635,4/22/2004,801,1,884.3625,Australia
2295,4/22/2004,3056,1,860.9475,Australia
785,4/22/2004,7315,1,57.6975,Australia
967,11/25/2005,885,1,671.9475,Australia
2376,11/30/2005,7290,1,692.9475,Australia
792,11/30/2005,1190,1,62.9475,Australia
1017,11/30/2005,909,1,272.9475,Australia
2054,11/30/2005,851,1,551.1975,Australia
2332,11/30/2005,1205,1,419.9475,Australia
764,11/30/2005,1210,1,304.4475,Australia
907,11/30/2005,1123,1,577.4475,Australia
964,11/29/2003,1217,1,314.9475,Australia
1191,11/29/2003,1560,1,267.6975,Australia
2250,11/29/2003,1037,1,125.9475,Australia
2332,11/29/2003,1293,1,367.4475,Australia
573,11/29/2003,8011,1,298.9875,Australia
725,11/29/2003,8012,1,120.6975,Australia
786,11/29/2003,1350,1,68.1975,Australia
1174,11/29/2003,3141,1,577.4475,Australia
2022,11/29/2003,3040,1,230.9475,Australia
2241,11/29/2003,1223,2,178.395,Australia
269,11/29/2003,2721,1,451.2375,Australia
786,11/29/2003,1215,1,68.1975,Australia
2045,11/29/2003,1696,1,419.9475,Australia
2094,11/29/2003,1292,1,438.3225,Australia
499,11/29/2003,3049,1,883.05,Australia
1001,11/29/2003,2623,1,393.6975,Australia
2026,11/29/2003,1101,1,367.4475,Australia
2253,11/29/2003,1168,1,136.4475,Australia
2213,4/22/2004,3147,1,89.1975,Australia
1392,4/22/2004,2606,1,154.77,Australia
2373,4/22/2004,1121,1,577.4475,Australia
786,4/22/2004,7315,1,57.6975,Australia
2254,10/28/2005,1694,1,56.6475,Australia
573,10/28/2005,1493,1,313.6875,Australia
967,10/28/2005,8007,1,671.9475,Australia
1001,10/28/2005,1146,1,393.6975,Australia
1202,10/28/2005,2644,1,619.4475,Australia
2064,10/28/2005,2624,1,498.6975,Australia
2331,10/28/2005,907,1,561.6975,Australia
