ProductID,Date,Zip,Units,Revenue,Country
604,8/17/2005,726-0005,1,494.8125,Japan
791,8/17/2005,724-0504,1,62.9475,Japan
1484,8/17/2005,740-1212,1,76.02,Japan
1897,8/17/2005,742-2101,1,719.1975,Japan
981,11/23/2004,742-2103,1,157.4475,Japan
508,11/23/2004,740-0312,1,969.675,Japan
964,11/25/2004,742-2801,1,314.9475,Japan
2091,11/25/2004,742-0321,1,157.4475,Japan
964,11/25/2004,742-0201,1,330.6975,Japan
767,11/25/2004,740-1222,1,94.4475,Japan
1009,11/25/2004,743-0072,1,99.6975,Japan
617,11/29/2004,744-0018,1,844.725,Japan
785,11/29/2004,742-0311,1,57.6975,Japan
971,11/29/2004,742-0311,1,1286.1975,Japan
1181,11/29/2004,742-0341,1,419.9475,Japan
2331,11/29/2004,740-0324,1,540.6975,Japan
495,11/29/2004,724-0305,1,615.51,Japan
785,11/29/2004,743-0022,1,57.6975,Japan
1191,11/29/2004,740-0031,1,251.9475,Japan
946,10/28/2005,742-0314,1,692.9475,Japan
2199,10/28/2005,742-0035,1,188.9475,Japan
644,10/28/2005,727-0008,1,871.2375,Japan
762,10/28/2005,742-2108,1,178.4475,Japan
966,10/28/2005,740-0323,1,482.9475,Japan
2099,10/28/2005,741-0094,1,404.1975,Japan
396,10/29/2005,742-1514,1,907.9875,Japan
725,10/29/2005,742-1503,1,110.1975,Japan
954,10/29/2005,743-0104,1,698.1975,Japan
2213,10/29/2005,742-0314,1,89.1975,Japan
299,10/29/2005,742-0023,1,708.4875,Japan
681,10/29/2005,742-1103,1,718.9875,Japan
1217,10/22/2005,725-0002,1,577.4475,Japan
572,10/22/2005,727-0007,2,891.975,Japan
2071,10/22/2005,742-0035,1,362.1975,Japan
604,6/4/2006,742-0009,1,498.4875,Japan
499,6/4/2006,726-0034,1,926.3625,Japan
1859,6/4/2006,740-0504,1,157.4475,Japan
791,6/5/2006,740-1219,1,65.5725,Japan
965,6/5/2006,742-0009,1,493.4475,Japan
1139,5/28/2006,742-0323,1,682.4475,Japan
2080,5/28/2006,740-0015,1,577.4475,Japan
604,5/28/2006,743-0004,1,498.4875,Japan
433,4/22/2005,742-2104,1,892.2375,Japan
2153,4/22/2005,742-0001,1,614.1975,Japan
2099,7/6/2005,742-0311,1,404.1975,Japan
604,7/6/2005,742-2922,1,494.8125,Japan
1182,6/7/2006,742-0322,1,157.4475,Japan
2090,6/7/2006,742-0337,1,349.0725,Japan
793,6/7/2006,724-0623,1,78.6975,Japan
794,6/7/2006,724-0623,1,78.6975,Japan
475,6/8/2006,740-0313,1,1028.7375,Japan
966,5/28/2006,743-0009,1,482.9475,Japan
1119,5/28/2006,740-1231,1,293.9475,Japan
2388,5/28/2006,742-2301,1,314.9475,Japan
396,5/28/2006,742-1501,1,910.6125,Japan
636,8/31/2006,743-0009,1,881.7375,Japan
690,8/31/2006,726-0023,1,361.9875,Japan
763,8/31/2006,742-0321,1,309.6975,Japan
782,8/31/2006,743-0104,1,99.6975,Japan
965,8/31/2006,742-0334,1,488.1975,Japan
1120,8/31/2006,742-2103,1,170.5725,Japan
2045,8/31/2006,742-2105,1,430.4475,Japan
2236,8/31/2006,741-0075,1,173.1975,Japan
